"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"Full Body 1","3 Jun 2026, 16:44","3 Jun 2026, 17:53","Not bad for first time doing this setup. Don’t superset the lat pd with bicep curls.","Bicep Curl (Dumbbell)",,"",1,"normal",40,10,,,9
"Full Body 1","3 Jun 2026, 16:44","3 Jun 2026, 17:53","Not bad for first time doing this setup. Don’t superset the lat pd with bicep curls.","Bicep Curl (Dumbbell)",,"",2,"normal",40,10,,,10
"Full Body 1","3 Jun 2026, 16:44","3 Jun 2026, 17:53","Not bad for first time doing this setup. Don’t superset the lat pd with bicep curls.","Standing Calf Raise (Dumbbell)",,"",0,"normal",40,12,,,6
"Full Body 1","3 Jun 2026, 16:44","3 Jun 2026, 17:53","Not bad for first time doing this setup. Don’t superset the lat pd with bicep curls.","Standing Calf Raise (Dumbbell)",,"",1,"normal",40,12,,,6
"Full Body 1","3 Jun 2026, 16:44","3 Jun 2026, 17:53","Not bad for first time doing this setup. Don’t superset the lat pd with bicep curls.","Standing Calf Raise (Dumbbell)",,"",2,"normal",40,12,,,6
"Full Body 1","3 Jun 2026, 16:44","3 Jun 2026, 17:53","Not bad for first time doing this setup. Don’t superset the lat pd with bicep curls.","Side Bend (Dumbbell)",,"",0,"normal",35,12,,,6
"Full Body 1","3 Jun 2026, 16:44","3 Jun 2026, 17:53","Not bad for first time doing this setup. Don’t superset the lat pd with bicep curls.","Side Bend (Dumbbell)",,"",1,"normal",35,12,,,6
"Full Body 1","3 Jun 2026, 16:44","3 Jun 2026, 17:53","Not bad for first time doing this setup. Don’t superset the lat pd with bicep curls.","Side Bend (Dumbbell)",,"",2,"normal",35,12,,,7
"Hey, I can sync to Strava","1 Jun 2026, 13:44","1 Jun 2026, 14:27","","Deadlift (Barbell)",,"",0,"normal",235,5,,,
"Hey, I can sync to Strava","1 Jun 2026, 13:44","1 Jun 2026, 14:27","","Deadlift (Barbell)",,"",1,"normal",265,8,,,
"Hey, I can sync to Strava","1 Jun 2026, 13:44","1 Jun 2026, 14:27","","Deadlift (Barbell)",,"",2,"normal",265,8,,,
"Hey, I can sync to Strava","1 Jun 2026, 13:44","1 Jun 2026, 14:27","","Deadlift (Barbell)",,"",3,"failure",265,6,,,
"Hey, I can sync to Strava","1 Jun 2026, 13:44","1 Jun 2026, 14:27","","Overhead Press (Barbell)",,"",0,"normal",80,8,,,8
"Hey, I can sync to Strava","1 Jun 2026, 13:44","1 Jun 2026, 14:27","","Overhead Press (Barbell)",,"",1,"normal",80,8,,,8
"Hey, I can sync to Strava","1 Jun 2026, 13:44","1 Jun 2026, 14:27","","Overhead Press (Barbell)",,"",2,"normal",80,8,,,10
"Evening Workout","31 May 2026, 15:28","31 May 2026, 15:31","","Bicep Curl (Dumbbell)",,"",0,"normal",20,12,,,
"Evening Workout","31 May 2026, 15:28","31 May 2026, 15:31","","Bicep Curl (Dumbbell)",,"",1,"normal",22.51,12,,,
"Evening Workout","31 May 2026, 15:28","31 May 2026, 15:31","","Bicep Curl (Dumbbell)",,"",2,"normal",22.51,12,,,
"Evening Workout","31 May 2026, 15:28","31 May 2026, 15:31","","Skullcrusher (Dumbbell)",,"",0,"normal",20,12,,,
"Evening Workout","31 May 2026, 15:28","31 May 2026, 15:31","","Skullcrusher (Dumbbell)",,"",1,"normal",22.51,12,,,
